Operation_Type,Workpiece_Material,Material_Hardness_HB,Tool_Diameter_mm,Number_of_Flutes,Tool_Coating,Tool_Wear_VB_mm,Rake_Angle_deg,Cutting_Speed_vc_mpm,Spindle_Speed_RPM,Feed_Rate_mm_rev,Axial_Depth_ap_mm,Radial_Depth_ae_mm,Feed_Speed_vf_mmpm,Coolant_Condition,Coolant_Flow_Rate_Lpm,Material_Removal_Rate_cm3_min,Cutting_Temperature_C,Cutting_Force_Fc_N,Spindle_Power_kW,Feed_Power_kW,Auxiliary_Power_kW,Cutting_Power_kW,Power_Consumption_kW,Specific_Energy_J_mm3,Carbon_Emission_Rate_kgCO2e_hr,Specific_Carbon_Emission_gCO2e_cm3
CNC Turning,AISI 304 Stainless Steel,194.1,32.96,1,Uncoated Carbide,0.098,-3.4,101.18,977.1,0.246,1.34,0.25,240.4,Flood Coolant,22.54,33.325,189.4,1362.6,0.779,0.188,1.85,2.753,5.525,9.95,3.1416,1.571
CNC Milling,AISI 1045 Steel,221.1,16.0,5,TiCN,0.151,7.5,160.61,3195.1,0.0901,2.51,8.92,1440.2,Flood Coolant,17.24,32.18,149.8,643.61,1.796,0.38,1.85,1.975,6.122,11.41,3.4362,1.78
CNC Turning,AISI 304 Stainless Steel,200.0,77.57,1,TiAlN,0.02,6.4,131.39,539.2,0.2452,3.76,0.25,132.2,MQL (Min Lubrication),0.16,121.247,242.4,2359.63,0.623,0.171,0.85,6.056,7.797,3.86,3.8362,0.527
CNC Turning,Al 6061-T6 Aluminum,86.3,103.35,1,Uncoated Carbide,0.126,3.0,165.06,508.4,0.1492,3.64,0.15,75.9,Flood Coolant,27.63,89.743,87.7,938.27,0.612,0.162,1.85,2.941,5.61,3.75,3.1879,0.592
CNC Turning,Ti-6Al-4V Titanium,333.6,102.59,1,TiCN,0.306,2.8,51.65,250.0,0.3897,3.01,0.39,97.4,MQL (Min Lubrication),0.22,60.542,564.1,4800.0,0.527,0.166,0.85,4.695,5.864,5.81,2.9794,0.82
CNC Milling,Al 6061-T6 Aluminum,102.0,25.0,6,Uncoated Carbide,0.181,2.9,168.71,2148.1,0.2059,2.59,3.48,2654.4,Cryogenic (LN2),2.11,23.93,46.8,134.9,1.27,0.575,1.35,0.449,4.062,10.19,2.6644,1.856
CNC Milling,AISI 1045 Steel,204.8,12.0,3,TiAlN,0.061,3.3,108.04,2865.8,0.1945,3.31,8.42,1672.5,Flood Coolant,20.23,46.655,152.0,1011.14,1.622,0.418,1.85,2.174,6.1,7.85,3.4076,1.217
CNC Turning,AISI 1045 Steel,206.9,77.72,1,TiCN,0.113,4.8,86.0,352.2,0.2593,0.81,0.26,91.3,MQL (Min Lubrication),0.21,18.01,147.2,599.35,0.56,0.165,0.85,0.994,2.467,8.22,1.3224,1.224
CNC Turning,Ti-6Al-4V Titanium,329.8,40.38,1,Uncoated Carbide,0.24,0.1,59.04,465.3,0.3446,1.35,0.34,160.3,Flood Coolant,31.61,27.502,326.2,3158.15,0.598,0.176,1.85,3.735,6.668,14.55,3.7156,2.252
CNC Turning,AISI 304 Stainless Steel,192.3,50.93,1,TiCN,0.025,5.4,191.87,1199.1,0.1997,2.34,0.2,239.5,Dry,0.0,89.83,299.4,1441.99,0.864,0.188,0.5,5.329,6.171,4.12,2.985,0.554
CNC Milling,Ti-6Al-4V Titanium,329.0,32.0,6,AlCrN,0.177,7.2,72.98,726.0,0.1917,0.63,6.48,835.2,Flood Coolant,34.23,3.382,118.3,119.0,0.688,0.284,1.85,0.165,3.007,53.35,1.9626,9.671
CNC Milling,Al 6061-T6 Aluminum,102.7,8.0,4,Uncoated Carbide,0.024,3.6,365.27,14533.7,0.1843,1.53,3.19,10712.2,Dry,0.0,52.412,107.7,163.65,12.837,1.864,0.5,1.171,17.386,19.9,8.3117,2.643
CNC Turning,Al 6061-T6 Aluminum,102.9,21.18,1,TiAlN,0.029,3.2,363.63,5000.0,0.3457,3.67,0.35,1728.3,Cryogenic (LN2),2.5,461.668,83.7,1148.27,2.9,0.427,1.35,8.024,12.511,1.63,6.6472,0.24
CNC Turning,Inconel 718 Superalloy,404.8,33.19,1,TiCN,0.152,3.6,107.73,1033.1,0.0633,1.21,0.06,65.4,Flood Coolant,16.03,8.263,173.2,584.44,0.8,0.16,1.85,1.252,4.142,30.08,2.4959,5.035
CNC Turning,AISI 304 Stainless Steel,205.4,52.26,1,TiAlN,0.014,8.9,85.09,518.3,0.2906,3.59,0.29,150.6,Flood Coolant,32.46,88.788,150.7,2352.19,0.616,0.174,1.85,3.754,6.465,4.37,3.5729,0.671
CNC Milling,AISI 1045 Steel,198.3,20.0,4,TiCN,0.185,6.5,174.84,2782.6,0.1136,3.98,1.78,1264.7,Flood Coolant,34.29,8.95,108.8,82.06,1.579,0.352,1.85,0.271,4.01,26.88,2.4403,4.545
CNC Turning,Ti-6Al-4V Titanium,349.8,85.63,1,TiAlN,0.45,-5.2,102.79,382.1,0.169,0.59,0.17,64.6,MQL (Min Lubrication),0.15,10.276,568.9,1211.06,0.57,0.16,0.85,2.387,4.041,23.6,2.1492,3.486
CNC Turning,AISI 1045 Steel,211.0,83.13,1,Uncoated Carbide,0.234,4.6,195.23,747.6,0.2229,2.38,0.22,166.6,Flood Coolant,26.78,103.451,323.3,2536.65,0.696,0.177,1.85,9.893,12.502,7.25,6.4856,1.045
CNC Turning,AISI 1045 Steel,212.3,32.72,1,Uncoated Carbide,0.153,2.9,229.97,2237.1,0.187,3.25,0.19,418.4,MQL (Min Lubrication),0.2,139.754,363.6,2642.62,1.311,0.217,0.85,12.013,14.723,6.32,7.1524,0.853
CNC Milling,AISI 1045 Steel,220.4,16.0,4,TiCN,0.038,7.0,147.95,2943.4,0.0735,1.29,14.19,865.5,Dry,0.0,15.852,137.4,376.7,1.662,0.288,0.5,1.107,3.455,13.08,1.6968,1.784
CNC Milling,AISI 304 Stainless Steel,212.4,6.0,3,TiAlN,0.153,-2.1,130.13,6903.6,0.1284,0.81,5.36,2659.8,MQL (Min Lubrication),0.23,11.607,207.2,455.69,4.332,0.576,0.85,1.159,6.982,36.09,3.4752,4.99
CNC Turning,AISI 1045 Steel,206.6,102.69,1,AlCrN,0.087,-2.5,197.0,610.7,0.2036,2.58,0.2,124.3,MQL (Min Lubrication),0.13,103.384,252.4,1558.67,0.647,0.17,0.85,6.12,7.728,4.49,3.816,0.615
CNC Milling,AISI 1045 Steel,225.3,25.0,5,TiCN,0.296,0.3,175.63,2236.1,0.1137,2.21,4.29,1270.9,MQL (Min Lubrication),0.09,12.031,210.8,222.64,1.311,0.353,0.85,0.771,3.171,15.81,1.6976,2.352
CNC Milling,Ti-6Al-4V Titanium,326.8,8.0,2,Uncoated Carbide,0.111,-3.7,67.24,2675.3,0.1235,2.63,1.81,661.0,Dry,0.0,3.15,178.5,203.82,1.525,0.256,0.5,0.274,2.477,47.18,1.2465,6.595
CNC Turning,Ti-6Al-4V Titanium,335.1,64.25,1,TiAlN,0.028,4.9,75.62,374.7,0.3451,2.82,0.35,129.3,Flood Coolant,17.68,73.712,206.8,2902.52,0.568,0.171,1.85,4.315,7.363,5.99,4.0015,0.905
CNC Milling,Al 6061-T6 Aluminum,101.6,10.0,4,TiAlN,0.062,-4.4,271.31,8636.0,0.146,1.23,4.18,5042.8,MQL (Min Lubrication),0.15,25.906,86.8,109.48,5.875,0.957,0.85,0.594,8.594,19.9,4.2224,2.717
CNC Turning,Ti-6Al-4V Titanium,326.7,43.15,1,TiCN,0.201,-0.9,79.98,590.0,0.0836,1.4,0.08,49.4,Dry,0.0,9.376,314.4,1012.22,0.64,0.158,0.5,1.547,2.807,17.96,1.4226,2.529
CNC Milling,AISI 1045 Steel,205.5,6.0,2,AlCrN,0.055,1.4,117.22,6218.9,0.0954,1.55,1.24,1186.7,Flood Coolant,24.44,2.278,45.0,45.0,3.785,0.34,1.85,0.105,6.231,164.09,3.4685,25.374
CNC Turning,AISI 1045 Steel,211.2,74.31,1,Uncoated Carbide,0.141,9.8,176.78,757.3,0.3107,3.95,0.31,235.3,Flood Coolant,22.03,216.758,279.1,3890.53,0.699,0.188,1.85,13.307,15.438,4.27,7.859,0.604
CNC Turning,AISI 1045 Steel,224.7,38.94,1,TiAlN,0.049,1.7,256.4,2096.2,0.241,3.5,0.24,505.1,Flood Coolant,22.94,216.08,216.4,2159.87,1.246,0.231,1.85,10.476,14.04,3.9,7.1766,0.554
CNC Milling,Al 6061-T6 Aluminum,105.9,16.0,4,TiAlN,0.022,0.9,393.12,7820.9,0.1378,2.03,11.78,4310.1,Flood Coolant,26.27,102.921,76.0,300.31,5.121,0.84,1.85,2.279,10.771,6.28,5.6191,0.91
CNC Milling,Al 6061-T6 Aluminum,101.8,10.0,4,Uncoated Carbide,0.052,-5.7,387.45,12333.0,0.0653,2.68,4.25,3220.9,Flood Coolant,29.98,36.694,61.2,149.66,9.93,0.665,1.85,1.132,12.916,21.12,6.6436,3.018
CNC Milling,AISI 1045 Steel,216.6,12.0,4,TiAlN,0.092,-5.0,202.79,5379.0,0.107,2.07,9.13,2302.4,Flood Coolant,22.3,43.505,148.3,764.14,3.163,0.518,1.85,2.995,7.966,10.99,4.2998,1.647
CNC Milling,AISI 304 Stainless Steel,196.3,16.0,4,TiAlN,0.111,6.8,92.62,1842.7,0.1842,2.49,11.92,1357.5,Dry,0.0,40.337,293.5,1665.76,1.132,0.367,0.5,3.029,5.023,7.47,2.4557,1.015
CNC Turning,Inconel 718 Superalloy,390.2,95.07,1,TiAlN,0.43,-4.6,50.29,250.0,0.1492,2.67,0.15,37.3,Flood Coolant,23.23,20.066,467.2,4800.0,0.527,0.156,1.85,4.562,6.836,20.44,3.8416,3.191
CNC Turning,Ti-6Al-4V Titanium,338.1,47.57,1,TiAlN,0.119,6.1,138.1,924.0,0.0886,3.58,0.09,81.9,Flood Coolant,28.82,43.766,226.1,1674.74,0.76,0.163,1.85,4.611,7.613,10.44,4.1376,1.576
CNC Milling,Al 6061-T6 Aluminum,102.5,16.0,4,TiAlN,0.022,-3.4,181.36,3608.0,0.0769,2.27,14.3,1110.5,MQL (Min Lubrication),0.2,36.058,67.7,313.95,2.027,0.328,0.85,1.109,4.142,6.89,2.1005,0.971
CNC Milling,AISI 1045 Steel,198.3,12.0,4,TiAlN,0.132,-4.1,206.24,5470.7,0.1617,2.0,10.73,3538.1,Dry,0.0,76.037,344.7,1629.06,3.229,0.716,0.5,6.306,10.853,8.56,5.2293,1.146
CNC Milling,AISI 1045 Steel,201.3,8.0,2,TiAlN,0.104,-1.7,138.75,5520.8,0.1596,2.0,1.72,1762.8,Flood Coolant,31.17,6.045,88.0,83.43,3.264,0.432,1.85,0.232,5.724,56.82,3.2373,8.926
CNC Turning,Al 6061-T6 Aluminum,95.9,88.9,1,TiAlN,0.032,-2.4,153.78,550.6,0.1248,2.99,0.12,68.7,Flood Coolant,23.61,57.403,63.2,493.99,0.627,0.161,1.85,1.509,4.007,4.19,2.4079,0.699
CNC Milling,Ti-6Al-4V Titanium,353.1,32.0,5,TiAlN,0.328,-5.8,91.55,910.6,0.1704,3.73,28.62,776.0,Flood Coolant,30.69,82.784,446.9,4500.0,0.755,0.274,1.85,8.199,10.433,7.56,5.5249,1.112
CNC Turning,Ti-6Al-4V Titanium,338.6,51.56,1,Uncoated Carbide,0.082,-5.0,101.94,629.3,0.1446,1.86,0.14,91.0,Flood Coolant,25.02,27.365,208.9,1541.67,0.654,0.165,1.85,2.948,6.038,13.24,3.3822,2.06
CNC Turning,Ti-6Al-4V Titanium,315.4,44.12,1,Uncoated Carbide,0.178,-3.7,83.37,601.5,0.2489,1.49,0.25,149.7,Dry,0.0,30.876,507.6,2891.84,0.644,0.174,0.5,4.731,5.607,10.9,2.7476,1.483
CNC Turning,Ti-6Al-4V Titanium,337.0,90.37,1,Uncoated Carbide,0.427,4.9,71.27,251.0,0.363,3.03,0.36,91.1,MQL (Min Lubrication),0.08,78.29,782.3,4800.0,0.528,0.165,0.85,6.531,8.218,6.3,4.1274,0.879
CNC Milling,Al 6061-T6 Aluminum,92.1,32.0,6,Uncoated Carbide,0.116,-0.2,237.58,2363.2,0.1462,3.87,17.44,2072.7,Flood Coolant,24.06,139.979,91.2,873.66,1.371,0.482,1.85,3.994,8.247,3.53,4.4381,0.528
CNC Turning,AISI 1045 Steel,209.1,61.16,1,TiAlN,0.088,-4.0,181.91,946.8,0.1016,1.91,0.1,96.2,MQL (Min Lubrication),0.12,35.363,186.8,765.14,0.768,0.165,0.85,2.674,4.484,7.61,2.2753,1.072
CNC Milling,AISI 304 Stainless Steel,202.5,8.0,3,TiAlN,0.318,7.1,141.07,5612.8,0.2035,1.54,0.84,3426.4,Cryogenic (LN2),2.19,4.443,101.8,74.23,3.331,0.698,1.35,0.197,5.458,73.71,3.3595,12.603
CNC Milling,Al 6061-T6 Aluminum,93.9,20.0,4,TiAlN,0.13,2.3,361.88,5759.5,0.1095,3.94,3.26,2523.7,Flood Coolant,24.43,32.424,55.6,81.84,3.438,0.554,1.85,0.558,6.415,11.87,3.571,1.836
CNC Turning,AISI 304 Stainless Steel,203.2,40.25,1,TiAlN,0.091,-5.9,222.66,1760.9,0.35,1.72,0.35,616.3,Flood Coolant,34.0,134.18,289.2,2046.51,1.096,0.249,1.85,9.012,12.537,5.61,6.4711,0.804
CNC Turning,AISI 304 Stainless Steel,202.2,109.0,1,TiAlN,0.137,0.5,117.16,342.1,0.3829,3.83,0.38,131.0,Flood Coolant,33.9,171.654,328.3,4800.0,0.557,0.171,1.85,10.918,14.095,4.93,7.2207,0.701
CNC Milling,Al 6061-T6 Aluminum,98.8,12.0,4,TiCN,0.13,0.4,440.68,11689.5,0.0599,1.03,10.7,2801.4,Cryogenic (LN2),3.97,30.777,49.8,136.04,9.149,0.598,1.35,1.152,11.766,22.94,6.313,3.419
CNC Milling,Inconel 718 Superalloy,418.3,16.0,4,TiAlN,0.225,-5.2,42.4,843.5,0.1855,3.37,2.02,626.0,MQL (Min Lubrication),0.15,4.259,208.6,408.13,0.73,0.25,0.85,0.33,2.234,31.47,1.2361,4.837
CNC Milling,AISI 304 Stainless Steel,205.7,8.0,3,Uncoated Carbide,0.345,5.2,102.54,4080.0,0.1112,2.48,3.85,1361.4,MQL (Min Lubrication),0.15,12.995,312.8,852.52,2.307,0.368,0.85,1.708,5.676,26.21,2.8996,3.719
CNC Milling,AISI 304 Stainless Steel,200.9,10.0,4,Uncoated Carbide,0.45,-3.5,81.51,2594.6,0.1321,1.12,5.54,1370.5,Flood Coolant,24.24,8.469,265.7,917.44,1.484,0.369,1.85,1.402,5.365,38.01,3.1482,6.195
CNC Milling,Al 6061-T6 Aluminum,105.6,20.0,6,TiAlN,0.041,9.1,326.69,5199.4,0.0787,1.36,12.87,2456.7,MQL (Min Lubrication),0.07,42.889,72.6,164.2,3.037,0.543,0.85,1.056,5.494,7.69,2.7462,1.067
CNC Milling,Al 6061-T6 Aluminum,103.5,10.0,4,TiAlN,0.019,7.7,295.9,9418.9,0.1906,2.19,8.88,7182.5,MQL (Min Lubrication),0.16,139.766,124.1,489.84,6.647,1.299,0.85,2.755,11.241,4.83,5.4723,0.653
CNC Milling,Al 6061-T6 Aluminum,96.5,25.0,4,Uncoated Carbide,0.151,6.4,216.29,2753.9,0.2082,0.56,12.01,2293.4,Flood Coolant,28.15,15.347,64.2,93.62,1.564,0.517,1.85,0.394,4.495,17.57,2.6636,2.893
CNC Turning,AISI 304 Stainless Steel,205.3,97.9,1,TiAlN,0.174,4.6,150.86,490.5,0.2562,3.22,0.26,125.7,Flood Coolant,34.25,124.293,316.4,3334.74,0.606,0.17,1.85,9.954,12.474,6.02,6.4584,0.866
CNC Turning,AISI 304 Stainless Steel,210.3,83.44,1,AlCrN,0.029,9.7,142.8,544.7,0.1271,3.6,0.13,69.2,Flood Coolant,29.05,65.299,143.2,1218.89,0.625,0.161,1.85,3.343,5.811,5.34,3.2646,0.833
CNC Turning,Ti-6Al-4V Titanium,330.7,87.67,1,Uncoated Carbide,0.13,-4.4,113.45,411.9,0.2042,1.12,0.2,84.1,Dry,0.0,25.865,410.3,1675.04,0.58,0.163,0.5,3.669,5.03,11.67,2.4631,1.587
CNC Milling,Al 6061-T6 Aluminum,103.7,12.0,4,AlCrN,0.033,-2.6,179.47,4760.6,0.129,0.87,3.79,2455.9,MQL (Min Lubrication),0.12,8.086,45.0,45.0,2.739,0.543,0.85,0.157,4.266,31.65,2.1612,4.454
CNC Turning,Al 6061-T6 Aluminum,97.3,73.32,1,AlCrN,0.026,0.6,450.0,1953.7,0.2298,3.61,0.23,449.0,Dry,0.0,373.072,167.1,989.88,1.181,0.222,0.5,8.35,10.953,1.76,5.2565,0.235
CNC Turning,AISI 1045 Steel,211.9,105.55,1,AlCrN,0.19,7.8,135.29,408.0,0.1734,2.9,0.17,70.7,Flood Coolant,32.37,68.131,212.3,1752.97,0.579,0.161,1.85,4.576,7.053,6.21,3.8871,0.951
CNC Turning,AISI 304 Stainless Steel,206.9,27.84,1,AlCrN,0.062,-1.1,98.07,1121.3,0.1899,0.76,0.19,213.0,Flood Coolant,23.15,14.161,123.6,453.72,0.834,0.184,1.85,0.871,3.769,15.97,2.3003,2.707
CNC Turning,AISI 304 Stainless Steel,198.9,27.35,1,Uncoated Carbide,0.234,8.4,128.19,1491.9,0.0792,3.59,0.08,118.1,Flood Coolant,19.06,36.464,236.6,1916.98,0.982,0.169,1.85,4.868,7.983,13.14,4.339,1.983
CNC Turning,Inconel 718 Superalloy,396.4,31.4,1,Uncoated Carbide,0.331,1.2,94.99,962.8,0.1416,2.1,0.14,136.3,Flood Coolant,22.74,28.294,469.6,3616.79,0.774,0.172,1.85,6.486,9.323,19.77,4.9986,2.944
CNC Milling,Ti-6Al-4V Titanium,337.1,6.0,3,Uncoated Carbide,0.45,1.9,111.03,5890.1,0.048,1.23,3.23,848.7,Cryogenic (LN2),3.99,3.372,155.1,360.49,3.535,0.286,1.35,0.75,6.014,107.0,3.6564,18.07
CNC Milling,AISI 304 Stainless Steel,198.3,32.0,4,Uncoated Carbide,0.169,5.8,190.4,1894.0,0.1126,2.73,16.37,852.8,Flood Coolant,16.83,38.16,202.3,853.1,1.154,0.286,1.85,3.145,6.331,9.96,3.5397,1.546
CNC Turning,AISI 1045 Steel,208.4,86.99,1,TiAlN,0.057,-4.0,207.71,760.1,0.372,1.43,0.37,282.7,Flood Coolant,29.47,110.288,193.4,1307.65,0.7,0.195,1.85,5.148,8.084,4.4,4.3493,0.657
CNC Turning,Ti-6Al-4V Titanium,331.1,90.62,1,AlCrN,0.024,8.7,51.65,250.0,0.1223,1.07,0.12,30.6,Flood Coolant,16.86,6.762,85.4,420.06,0.527,0.155,1.85,0.427,2.953,26.2,1.906,4.698
CNC Turning,AISI 1045 Steel,207.5,67.39,1,TiAlN,0.285,-6.0,97.12,458.7,0.1008,2.56,0.1,46.2,Flood Coolant,30.44,25.112,181.9,1685.51,0.596,0.157,1.85,3.214,6.297,15.04,3.5498,2.356
CNC Milling,Al 6061-T6 Aluminum,109.2,20.0,6,TiAlN,0.012,5.8,262.48,4177.5,0.1825,1.41,11.9,4574.2,Dry,0.0,76.724,110.1,320.79,2.366,0.882,0.5,1.595,5.714,4.47,2.7656,0.601
CNC Milling,Al 6061-T6 Aluminum,105.1,20.0,5,TiCN,0.05,8.4,409.76,6521.6,0.0975,1.06,14.55,3178.9,Dry,0.0,49.1,104.8,173.11,4.023,0.659,0.5,1.353,6.785,8.29,3.2808,1.114
CNC Milling,AISI 304 Stainless Steel,206.6,8.0,2,Uncoated Carbide,0.195,3.9,102.23,4067.6,0.0697,3.53,1.25,567.0,Dry,0.0,2.501,156.6,101.91,2.299,0.241,0.5,0.207,3.593,86.22,1.7949,11.962
CNC Turning,AISI 304 Stainless Steel,191.8,23.67,1,TiAlN,0.125,5.6,126.84,1705.4,0.3231,3.35,0.32,551.1,Flood Coolant,21.86,137.333,272.1,3439.79,1.072,0.238,1.85,8.331,12.231,5.34,6.3325,0.769
CNC Turning,Al 6061-T6 Aluminum,97.9,58.84,1,TiAlN,0.029,-4.8,450.0,2434.3,0.1354,3.19,0.14,329.6,Flood Coolant,33.79,194.23,92.1,577.22,1.405,0.203,1.85,4.929,8.182,2.53,4.3909,0.377
CNC Milling,AISI 1045 Steel,217.9,12.0,4,AlCrN,0.061,-3.0,236.13,6263.4,0.1034,3.06,7.38,2590.9,Flood Coolant,31.36,58.565,134.1,675.79,3.82,0.565,1.85,3.137,9.034,9.26,4.8011,1.366
CNC Milling,AISI 1045 Steel,192.3,12.0,4,TiAlN,0.079,-3.6,241.87,6415.9,0.0992,3.81,0.59,2545.6,MQL (Min Lubrication),0.19,5.77,107.2,45.0,3.939,0.557,0.85,0.216,4.895,50.9,2.4683,7.13
CNC Milling,Inconel 718 Superalloy,384.6,32.0,6,TiCN,0.259,-1.8,80.12,797.0,0.0995,2.75,21.38,475.8,Dry,0.0,28.014,610.6,3503.85,0.713,0.226,0.5,5.574,7.236,15.5,3.5398,2.106
CNC Turning,Al 6061-T6 Aluminum,106.9,90.28,1,Uncoated Carbide,0.087,5.2,372.22,1312.3,0.2904,1.29,0.29,381.1,Cryogenic (LN2),4.38,139.371,65.9,490.73,0.909,0.211,1.35,3.456,5.756,2.48,3.4492,0.412
CNC Turning,Al 6061-T6 Aluminum,95.3,62.78,1,AlCrN,0.098,-4.3,210.09,1065.2,0.3106,1.49,0.31,330.9,Flood Coolant,32.33,97.477,105.5,557.68,0.813,0.203,1.85,2.243,5.181,3.19,2.9784,0.509
CNC Turning,AISI 1045 Steel,198.2,67.82,1,TiAlN,0.146,0.6,205.36,963.9,0.3039,2.74,0.3,293.0,Dry,0.0,170.984,485.9,3158.8,0.774,0.197,0.5,12.81,14.374,5.04,6.9048,0.673
CNC Milling,AISI 1045 Steel,216.1,12.0,4,TiCN,0.018,-1.1,167.34,4438.9,0.115,1.94,10.77,2041.1,Cryogenic (LN2),5.91,42.582,80.1,659.77,2.53,0.477,1.35,2.19,6.369,8.97,3.7274,1.459
CNC Turning,AISI 1045 Steel,223.1,82.92,1,AlCrN,0.025,2.9,87.37,335.4,0.2122,2.23,0.21,71.2,Flood Coolant,22.64,41.368,94.7,1051.41,0.555,0.161,1.85,1.739,4.288,6.22,2.5402,1.023
CNC Milling,AISI 1045 Steel,200.0,25.0,4,TiAlN,0.082,1.0,193.27,2460.7,0.0452,2.85,18.66,445.0,Flood Coolant,20.09,23.668,109.6,461.46,1.418,0.221,1.85,1.695,4.936,12.51,2.8586,2.013
CNC Turning,Al 6061-T6 Aluminum,102.3,58.5,1,TiAlN,0.023,-3.2,148.39,807.4,0.1897,2.69,0.19,153.1,Flood Coolant,17.14,75.724,62.5,610.12,0.717,0.175,1.85,1.808,4.511,3.57,2.6461,0.582
CNC Milling,AISI 1045 Steel,218.8,16.0,4,Uncoated Carbide,0.029,-0.0,259.28,5158.2,0.0608,0.96,9.79,1254.0,MQL (Min Lubrication),0.08,11.75,122.8,159.85,3.009,0.351,0.85,0.816,4.743,24.22,2.3874,3.386
CNC Milling,Al 6061-T6 Aluminum,101.3,12.0,4,TiAlN,0.084,7.2,240.43,6377.7,0.095,2.95,8.06,2423.9,Flood Coolant,24.8,57.666,73.4,319.65,3.909,0.538,1.85,1.459,7.594,7.9,4.1217,1.191
CNC Turning,AISI 1045 Steel,204.3,74.42,1,AlCrN,0.226,3.3,271.06,1159.4,0.3556,2.45,0.36,412.3,Dry,0.0,236.339,696.3,3560.21,0.849,0.216,0.5,18.362,19.678,5.0,9.442,0.666
CNC Turning,AISI 304 Stainless Steel,193.4,100.8,1,Uncoated Carbide,0.178,-3.2,220.26,695.5,0.2226,1.17,0.22,154.9,Dry,0.0,57.476,522.1,1689.75,0.677,0.175,0.5,7.124,8.817,9.2,4.2724,1.239
CNC Milling,Inconel 718 Superalloy,389.4,16.0,4,AlCrN,0.45,-4.4,85.77,1706.4,0.0818,1.84,3.42,558.3,MQL (Min Lubrication),0.13,3.51,362.8,338.85,1.073,0.239,0.85,0.545,2.734,46.74,1.5284,7.257
CNC Turning,AISI 1045 Steel,215.5,71.71,1,TiCN,0.201,9.0,272.93,1211.5,0.1986,1.18,0.2,240.6,Flood Coolant,33.61,63.795,228.3,837.62,0.869,0.188,1.85,4.515,7.668,7.21,4.1819,1.093
CNC Milling,AISI 304 Stainless Steel,200.0,12.0,5,TiAlN,0.046,0.3,185.33,4916.1,0.151,4.45,8.29,3711.9,Dry,0.0,137.09,346.7,2618.41,2.843,0.744,0.5,9.66,14.218,6.22,6.8109,0.828
CNC Milling,AISI 304 Stainless Steel,203.8,32.0,6,TiAlN,0.053,-4.6,167.68,1667.9,0.0445,3.38,10.24,445.0,Flood Coolant,22.08,15.413,96.4,295.83,1.056,0.221,1.85,0.981,4.034,15.7,2.4249,2.622
CNC Milling,AISI 1045 Steel,219.8,10.0,4,Uncoated Carbide,0.109,0.8,156.38,4977.7,0.1528,2.84,1.92,3042.5,MQL (Min Lubrication),0.14,16.594,143.3,244.68,2.885,0.637,0.85,0.718,5.078,18.36,2.5618,2.573
CNC Milling,AISI 304 Stainless Steel,206.4,32.0,4,TiAlN,0.213,-0.0,164.06,1631.9,0.2184,3.35,4.95,1425.4,Flood Coolant,28.47,23.613,192.9,357.27,1.041,0.378,1.85,1.108,4.447,11.3,2.6545,1.874
CNC Milling,AISI 304 Stainless Steel,211.9,16.0,4,TiAlN,0.127,0.4,162.7,3236.7,0.1921,2.71,4.6,2487.2,Flood Coolant,32.42,30.995,167.5,493.59,1.819,0.548,1.85,1.554,5.829,11.28,3.292,1.77
CNC Milling,Ti-6Al-4V Titanium,338.1,10.0,5,TiAlN,0.105,0.5,57.39,1826.6,0.1676,4.2,1.58,1530.3,MQL (Min Lubrication),0.23,10.151,163.7,437.04,1.125,0.395,0.85,0.495,2.984,17.64,1.5659,2.571
CNC Milling,Al 6061-T6 Aluminum,99.3,25.0,6,AlCrN,0.104,7.6,332.17,4229.4,0.1283,0.7,11.23,3256.5,Dry,0.0,25.699,108.6,96.6,2.399,0.671,0.5,0.624,4.167,9.73,2.0478,1.328
CNC Turning,AISI 304 Stainless Steel,214.2,100.6,1,TiAlN,0.119,-1.8,220.97,699.2,0.1527,1.6,0.15,106.8,Flood Coolant,32.88,54.142,227.4,1077.4,0.678,0.167,1.85,4.483,7.355,8.15,4.0154,1.236
CNC Milling,AISI 1045 Steel,201.5,25.0,6,TiAlN,0.066,5.5,155.35,1978.0,0.1585,1.52,10.88,1881.1,Cryogenic (LN2),5.33,31.091,84.4,384.46,1.192,0.451,1.35,1.155,3.922,7.57,2.5739,1.38
CNC Turning,Ti-6Al-4V Titanium,338.3,82.89,1,Uncoated Carbide,0.15,3.5,83.63,321.1,0.2495,0.71,0.25,80.1,MQL (Min Lubrication),0.11,14.74,293.5,1020.56,0.55,0.163,0.85,1.599,3.195,13.0,1.6757,1.895
CNC Milling,AISI 1045 Steel,211.8,32.0,4,TiCN,0.164,3.0,93.97,934.7,0.0521,3.5,20.43,194.8,Dry,0.0,13.936,174.1,760.28,0.764,0.181,0.5,1.361,2.728,11.74,1.3768,1.647
CNC Turning,Ti-6Al-4V Titanium,341.3,96.83,1,TiCN,0.157,6.2,47.12,250.0,0.3848,3.53,0.38,96.2,Flood Coolant,29.56,63.986,284.8,4800.0,0.527,0.165,1.85,4.271,6.873,6.44,3.7942,0.988
CNC Milling,Ti-6Al-4V Titanium,331.8,32.0,4,TiAlN,0.141,-5.9,137.38,1366.5,0.0714,4.16,23.93,390.5,Dry,0.0,38.893,395.8,2160.86,0.931,0.212,0.5,5.906,7.836,12.09,3.7982,1.628
